record_num,m_birth_date,m_birth_hour,m_born_lat,m_born_long,m_sign,m_sun,m_sun_speed,m_sun_house,m_moon,m_moon_speed,m_moon_house,m_mercury,m_mercury_speed,m_mercury_house,m_venus,m_venus_speed,m_venus_house,m_mars,m_mars_speed,m_mars_house,m_jupiter,m_jupiter_speed,m_jupiter_house,m_saturn,m_saturn_speed,m_saturn_house,m_uranus,m_uranus_speed,m_uranus_house,m_neptune,m_neptune_speed,m_neptune_house,m_pluto,m_pluto_speed,m_pluto_house,m_chiron,m_chiron_speed,m_chiron_house,m_lilith,m_lilith_speed,m_lilith_house,m_truenode,m_truenode_speed,m_truenode_house,m_pof,m_pof_speed,m_pof_house,m_vertex,m_vertex_speed,m_vertex_house,m_ascendant,m_ascendant_speed,m_house2,m_house2_speed,m_house3,m_house3_speed,m_house4,m_house4_speed,m_house5,m_house5_house,m_house6,m_house6_house,m_house7,m_house7_speed,m_house8,m_house8_speed,m_house9,m_house9_speed,m_MC,m_MC_speed,m_house11,m_house11_speed,m_house12,m_house12_speed,f_birth_date,f_birth_hour,f_born_lat,f_born_long,f_sign,f_sun,f_sun_speed,f_sun_house,f_moon,f_moon_speed,f_moon_house,f_mercury,f_mercury_speed,f_mercury_house,f_venus,f_venus_speed,f_venus_house,f_mars,f_mars_speed,f_mars_house,f_jupiter,f_jupiter_speed,f_jupiter_house,f_saturn,f_saturn_speed,f_saturn_house,f_uranus,f_uranus_speed,f_uranus_house,f_neptune,f_neptune_speed,f_neptune_house,f_pluto,f_pluto_speed,f_pluto_house,f_chiron,f_chiron_speed,f_chiron_house,f_lilith,f_lilith_speed,f_lilith_house,f_truenode,f_truenode_speed,f_truenode_house,f_pof,f_pof_speed,f_pof_house,f_vertex,f_vertex_speed,f_vertex_house,f_ascendant,f_ascendant_speed,f_house2,f_house2_speed,f_house3,f_house3_speed,f_house4,f_house4_speed,f_house5,f_house5_house,f_house6,f_house6_house,f_house7,f_house7_speed,f_house8,f_house8_speed,f_house9,f_house9_speed,f_MC,f_MC_speed,f_house11,f_house11_speed,f_house12,f_house12_speed,success_rate
1,07.05.1962,11:55:57,-15.8,-47.86667,TAURUS,46.4433646,0.9679463,4.0,89.7062021,13.3254867,1.0,66.5922838,1.4174324,5.0,71.0967948,1.2158619,5.0,13.7163783,0.765666,2.0,338.0657263,0.1537048,5.0,311.228307,0.0234752,9.0,146.3981119,0.0028525,8.0,222.0050809,-0.0271299,8.0,157.5565255,-0.0059357,6.0,340.2297744,0.0340887,3.0,171.1029554,0.1112636,11.0,132.9271893,-0.1061196,5.0,123.19545540000001,-0.1061196,9.0,323.363167,-0.1061196,2.7179566,79.9326179,2.7179566,109.9632085,2.7179566,142.2475316,2.7179566,175.6054947,2.7179566,206.9181152,2.7179566,234.6159189,2.7179566,259.9326179,2.7179566,289.9632085,2.7179566,322.2475316,2.7179566,355.6054947,2.7179566,26.9181152,2.7179566,54.6159189,2.7179566,27.09.1994,02:47:05,-12.96667,-38.48333,TAURUS,183.7742973,0.9808566,3.0,83.7689746,11.9969336,12.6211307,209.7616508,0.9500657,4.0,223.5207482,0.5132424,5.0703763,115.6679722,0.5828797,1.0,224.3207722,0.1908105,5.1518633,337.1798574,-0.0636543,9.0490446,292.3984064,-0.0041346,7.0,290.5823541,-0.0030516,7.0,236.0288392,0.0274955,5.0,167.4593273,0.1387478,3.2625922,49.186924,0.1107476,11.3216397,225.5686847,0.0174595,5.1898594,352.9666916,0.0174595,5.1898594,332.1598531,0.0174595,5.1898594,92.9720143,5.1898594,123.5563644,5.1898594,156.5008706,5.1898594,189.7493992,5.1898594,220.2018769,5.1898594,247.294476,5.1898594,272.9720143,5.1898594,303.5563644,5.1898594,336.5008706,5.1898594,9.7493992,5.1898594,40.2018769,5.1898594,67.294476,5.1898594,75
2,09.02.1942,12:50:25,48.85,-0.11667,AQUARIUS,320.1499831,1.0122088,9.6309534,242.214946,14.256026,10.0,321.1056406,-1.1683889,9.6438844,309.2685371,-0.519763,1.0,45.1584127,0.5587874,9.0,71.4145981,0.0139396,3.0,51.9123078,0.032086,6.0,56.3648057,0.0052583,2.0,179.4672899,-0.0198229,5.0,124.2965721,-0.0218003,3.0,130.8029829,-0.0743918,9.0,67.6972083,0.1120593,8.0,163.6198651,-0.017176,6.0,13.177232300000014,-0.017176,5.0,228.1861639,-0.017176,4.4882584,91.1122694,4.4882584,108.4640005,4.4882584,126.6359971,4.4882584,149.3493628,4.4882584,181.9174982,4.4882584,227.6814624,4.4882584,271.1122694,4.4882584,288.4640005,4.4882584,306.6359971,4.4882584,329.3493628,4.4882584,1.9174982,4.4882584,47.6814624,4.4882584,01.06.1956,22:34:51,-22.9,-47.05,AQUARIUS,71.3686702,0.9579032,6.0,342.9649709,12.3725742,3.0,61.2603309,-0.3629714,5.0,98.9905882,-0.0465718,6.0,329.2238646,0.5619012,2.0,144.4422981,0.122456,8.0,238.6120492,-0.0717914,11.0,119.6124426,0.0453408,7.0,207.9979077,-0.0180936,10.0,146.2497579,0.0119292,8.0,311.5894965,-0.0178848,2.0,289.8570602,0.1113142,1.0,248.1325138,0.0003556,11.0,192.95385869999996,0.0003556,10.0,47.7058023,0.0003556,11.9365113,281.357558,11.9365113,305.2464969,11.9365113,331.5820302,11.9365113,2.2247103,11.9365113,36.3243731,11.9365113,70.2122501,11.9365113,101.357558,11.9365113,125.2464969,11.9365113,151.5820302,11.9365113,182.2247103,11.9365113,216.3243731,11.9365113,250.2122501,11.9365113,90
3,15.07.1992,20:08:59,-20.8,-49.38333,CANCER,113.5597674,0.953598,6.0,305.0123083,11.8914683,1.0,136.7703976,0.3309932,6.0,122.4099522,1.2296441,6.0,52.4373162,0.6989079,11.0,162.1602332,0.1743888,9.2126915,316.753679,-0.0652681,10.0,285.7140466,-0.0398291,11.0,287.402838,-0.0268431,1.1229845,230.2111992,-0.0082395,10.0,130.7635337,0.120816,5.0,319.5964636,0.1115323,3.0,270.6259048,-0.0500387,5.0,116.10063440000005,-0.0500387,10.0,46.6082658,-0.0500387,12.5300136,284.6480935,12.5300136,309.0772857,12.5300136,336.1993945,12.5300136,7.3918329,12.5300136,41.1893478,12.5300136,74.1667694,12.5300136,104.6480935,12.5300136,129.0772857,12.5300136,156.1993945,12.5300136,187.3918329,12.5300136,221.1893478,12.5300136,254.1667694,12.5300136,16.06.1984,03:45:31,-30.03333,-51.0,CANCER,85.1778499,0.954522,3.0,295.8372806,12.6538545,10.0,76.7431931,2.1110866,3.0,85.2374864,1.2285275,3.0,221.7869913,-0.0489503,8.0,279.7685427,-0.1195281,10.0,220.2851169,-0.041886,8.0,250.9866354,-0.0395374,9.0,270.1857755,-0.0268098,10.0,209.4634451,-0.0125051,8.0,64.7329974,0.0717634,3.0,350.9313495,0.1120101,12.6489064,66.5164669,-0.0456538,3.0,210.6396400000001,-0.0456538,8.0,179.9009797,-0.0456538,3.2632745,359.9802093,3.2632745,27.7864912,3.2632745,58.2299174,3.2632745,89.9791655,3.2632745,121.7282428,3.2632745,152.1719931,3.2632745,179.9802093,3.2632745,207.7864912,3.2632745,238.2299174,3.2632745,269.9791655,3.2632745,301.7282428,3.2632745,332.1719931,3.2632745,60
4,29.12.1986,00:25:55,-15.6,23333.0,CAPRICORN,276.9796633,1.0195398,6.0,246.8961291,14.9912315,1.0,268.5269616,1.5534177,7.0,231.4972106,0.8495465,6.0,352.668168,0.6973575,6.0,347.0492559,0.1509971,11.0,255.0474571,0.113021,6.0,263.4219967,0.0596586,9.0,275.5739345,0.0379409,2.0,219.3848316,0.0255779,4.1793704,77.5426961,-0.0561453,10.0,93.9705353,0.1120563,6.0,17.3715132,-0.1328046,9.0,148.63943700000004,-0.1328046,7.0,337.8680797,-0.1328046,9.2970928,118.5559028,9.2970928,152.7134884,9.2970928,187.5487217,9.2970928,219.0436381,9.2970928,246.4228773,9.2970928,271.8531309,9.2970928,298.5559028,9.2970928,332.7134884,9.2970928,7.5487217,9.2970928,39.0436381,9.2970928,66.4228773,9.2970928,91.8531309,9.2970928,16.01.1930,21:48:50,41.9,2.35,CAPRICORN,296.0677732,1.017863,4.0,144.2960081,15.0669827,11.0,306.8204266,-0.7378853,5.0,291.0690163,1.2569888,4.0,283.9687735,0.7626465,4.0,66.7082465,-0.0490579,9.0,275.5576261,0.1133159,4.0,7.8551283,0.0257484,7.0,153.1223449,-0.0209213,12.1039254,108.3859008,-0.0211324,10.0,39.6111896,-0.0026951,8.0,296.7640482,0.1120275,4.0,38.6411029,-0.1675725,8.0,327.9731663,-0.1675725,5.0,349.8322986,-0.1675725,8.57995,176.2014012,8.57995,201.6902437,8.57995,231.8477278,8.57995,265.5566083,8.57995,299.4504733,8.57995,330.054832,8.57995,356.2014012,8.57995,21.6902437,8.57995,51.8477278,8.57995,85.5566083,8.57995,119.4504733,8.57995,150.054832,8.57995,85
5,09.06.1965,18:53:46,48.85,-0.11667,GEMINI,78.700647,0.9558664,10.0,209.3742188,12.8951132,2.0,76.2072594,2.1936018,11.0,94.1957454,1.2238204,11.0,171.1061514,0.4204499,2.0,71.103296,0.232185,3.0,346.9396006,0.0302787,4.0,160.9131312,0.0195475,6.0,227.8408586,-0.0223869,9.0,163.7428734,0.0080723,8.0,352.4517083,0.0139461,8.0,296.9058233,0.1113589,3.0,73.8316831,0.0083911,11.0,17.14880919999996,0.0083911,11.0,110.1947202,0.0083911,7.239789,246.4752374,7.239789,280.9278417,7.239789,323.5349494,7.239789,1.3648476,7.239789,28.9666813,7.239789,49.5042058,7.239789,66.4752374,7.239789,100.9278417,7.239789,143.5349494,7.239789,181.3648476,7.239789,208.9666813,7.239789,229.5042058,7.239789,19.10.1939,05:00:54,-15.8,-47.86667,GEMINI,204.9122098,0.9935446,2.0,284.4285253,12.349843,5.0,222.0556603,1.463044,3.0,216.360508,1.2479118,3.0,311.4780989,0.5315783,6.0,1.0638408,-0.1109554,8.0,28.0363597,-0.0796342,9.0,50.9481449,-0.0360121,9.0,174.2231217,0.0329487,2.0,122.8581982,0.0070372,12.5968091,109.9395689,0.0193392,11.9775687,333.7748644,0.111651,7.0,209.3113401,0.0032801,3.0,216.6349711,0.0032801,3.0,344.7534534,0.0032801,3.0706711,137.1186556,3.0706711,173.0433873,3.0706711,207.0798851,3.0706711,236.4443703,3.0706711,262.4768539,3.0706711,288.1957824,3.0706711,317.1186556,3.0706711,353.0433873,3.0706711,27.0798851,3.0706711,56.4443703,3.0706711,82.4768539,3.0706711,108.1957824,3.0706711,90
6,25.12.1960,17:01:21,-23.55,-46.63333,CAPRICORN,273.9311497,1.019004,6.0,11.3613061,13.1899025,11.0,267.498095,1.5634886,5.0,318.0366701,1.1599582,7.0,100.6177468,-0.3946618,3.0,282.6318203,0.2311727,3.0,288.8486793,0.1157846,9.0,145.531469,-0.0218909,4.7849728,220.687355,0.0252181,5.0,158.0704249,-0.0080427,3.0,328.5733565,0.0455873,1.0,115.8774027,0.1113636,10.0,158.7020208,-0.0147638,5.1984271,127.3617964,-0.0147638,1.0,284.6962054,-0.0147638,5.1984271,29.93164,5.1984271,59.0593887,5.1984271,89.3376378,5.1984271,120.6992436,5.1984271,152.4955011,5.1984271,182.8156491,5.1984271,209.93164,5.1984271,239.0593887,5.1984271,269.3376378,5.1984271,300.6992436,5.1984271,332.4955011,5.1984271,2.8156491,5.1984271,06.10.1930,13:00:23,25.78333,-56.1,CAPRICORN,192.548628,0.9861107,11.0,358.5546119,12.1167695,4.0,174.6746855,0.8831074,10.0,236.2154556,0.7271685,1.0,112.8659571,0.5319231,8.0,108.830891,0.0995073,8.0,275.8311433,0.0426725,2.0,13.4179866,-0.040496,5.0,154.7246714,0.0306909,10.0,110.8376308,0.006542,8.0,48.0312629,-0.0385618,6.0,326.1711095,0.1116559,3.0,23.6571624,-0.0190089,5.0,42.061979199999996,-0.0190089,6.0,114.8285887,-0.0190089,5.699114,236.0559953,5.699114,265.7987328,5.699114,297.883322,5.699114,331.4349456,5.699114,3.524473,5.699114,31.6731572,5.699114,56.0559953,5.699114,85.7987328,5.699114,117.883322,5.699114,151.4349456,5.699114,183.524473,5.699114,211.6731572,5.699114,85
7,02.05.1950,23:58:23,42.33333,-81.3,TAURUS,41.9955967,0.9693115,8.0,233.1073619,15.2499007,11.0,57.5020345,0.0591285,8.0,356.9573892,1.0797338,8.0,172.0085297,-0.0082822,8.0,332.9698737,0.1516679,2.0,162.712388,-0.0213011,5.0,92.1792639,0.0430415,7.0,195.2919228,-0.0238426,10.0,135.773734,0.0021846,9.0,260.9948429,-0.0454301,8.0,42.3233134,0.1112378,7.2223475,7.0540783,-0.0751347,2.0,48.86401489999997,-0.0751347,5.6418735,77.2574961,-0.0751347,5.6418735,217.7522497,5.6418735,246.5259374,5.6418735,280.1217766,5.6418735,316.1587847,5.6418735,349.0534212,5.6418735,16.0288663,5.6418735,37.7522497,5.6418735,66.5259374,5.6418735,100.1217766,5.6418735,136.1587847,5.6418735,169.0534212,5.6418735,196.0288663,5.6418735,25.06.1936,13:43:32,-15.6,23333.0,TAURUS,93.7907359,0.9536779,11.0,170.1523492,12.0809468,1.0,71.7254078,0.9489105,10.0,92.7359173,1.2284962,11.0,89.7709172,0.6737055,11.0,257.7052325,-0.1182111,4.0,352.4748636,0.0136192,8.0,38.5819129,0.0380561,9.0,164.2452554,0.016358,1.0,116.3085229,0.0255202,12.3944316,78.4333822,0.0830562,10.0,198.8590145,0.1119586,2.0,273.4901019,-0.0002578,5.0,211.62493360000002,-0.0002578,3.0,344.171006,-0.0002578,5.4954092,135.2633203,5.4954092,171.0033924,5.4954092,205.1640887,5.4954092,234.7588368,5.4954092,260.9185199,5.4954092,286.5906334,5.4954092,315.2633203,5.4954092,351.0033924,5.4954092,25.1640887,5.4954092,54.7588368,5.4954092,80.9185199,5.4954092,106.5906334,5.4954092,80
8,10.12.1957,22:54:39,-15.8,-47.86667,SAGITTARIUS,258.6388904,1.0162766,4.0,125.5660059,14.0465122,1.8121978,279.1921964,0.7764862,5.0,303.4967471,0.7794898,5.0,231.6750072,0.6841861,2.0,205.4599232,0.16752,2.0,256.9877981,0.1182564,3.0,131.4135341,-0.020938,5.0,213.9208006,0.0286759,6.0,152.3181154,-0.0033019,4.0,313.6051666,0.0511415,10.0,352.139678,0.1114531,3.0,219.8769706,-0.0923942,2.0,230.61986609999997,-0.0923942,11.0,329.6219291,-0.0923942,4.7796613,97.5469816,4.7796613,129.2510652,4.7796613,163.2552547,4.7796613,196.4878643,4.7796613,226.0422826,4.7796613,252.2419534,4.7796613,277.5469816,4.7796613,309.2510652,4.7796613,343.2552547,4.7796613,16.4878643,4.7796613,46.0422826,4.7796613,72.2419534,4.7796613,07.11.1979,17:52:15,53.4,-96.8,SAGITTARIUS,224.7208782,1.00338,10.0,89.7149209,13.1381716,6.0,245.5748266,0.2503421,11.0,244.0484241,1.2450204,11.0,144.2355112,0.4957251,8.0,156.6773115,0.1361064,8.0,173.9502129,0.0941573,8.0,230.8962075,0.0620076,10.0,258.9468882,0.032433,12.1050349,200.1334069,0.0369817,9.0,41.3536706,-0.0492682,4.0,163.4133087,0.1107917,8.0,155.7149512,-0.1370673,8.0,46.75174849999996,-0.1370673,4.0,137.1851622,-0.1370673,8.2482814,271.7457912,8.2482814,321.9613838,8.2482814,10.2567049,8.2482814,40.0063299,8.2482814,59.9215204,8.2482814,75.9518746,8.2482814,91.7457912,8.2482814,141.9613838,8.2482814,190.2567049,8.2482814,220.0063299,8.2482814,239.9215204,8.2482814,255.9518746,8.2482814,85
9,10.07.1952,16:26:30,25.78333,-56.1,CANCER,108.3236753,0.9531871,3.0,332.7365408,14.7045076,5.0,134.3543597,1.1930052,3.0,112.6723877,1.229919,1.0,216.6882418,0.3341599,4.0,45.4429412,0.1655189,2.0,188.94171,0.0487403,5.0,104.4705226,0.0604739,7.0,198.9599375,0.0055166,11.0,140.1617616,0.0273028,9.0,278.9450611,-0.0623895,8.0,131.5723716,0.1107889,11.0,321.8766795,0.0140326,3.0,70.45230849999996,0.0140326,4.0,92.5685037,0.0140326,4.7787506,206.039443,4.7787506,235.0184251,4.7787506,265.451429,4.7787506,297.012182,4.7787506,328.862794,4.7787506,359.1009409,4.7787506,26.039443,4.7787506,55.0184251,4.7787506,85.451429,4.7787506,117.012182,4.7787506,148.862794,4.7787506,179.1009409,4.7787506,30.12.1935,07:18:56,-23.55,-46.63333,CANCER,277.6753564,1.0195171,1.0,336.8920733,14.2463355,3.0,289.1225065,1.6073996,2.0,234.9381469,1.1761099,12.2252352,318.0325611,0.7832268,3.0,251.2924191,0.2120553,12.6703247,335.7946372,0.0826488,3.0,31.6040947,-0.009766,5.0,166.7470876,-0.0059357,10.0,116.6900109,-0.0206046,8.0,72.238196,-0.0520084,6.0,178.8859069,0.1119791,10.0,282.760052,0.0079425,1.0,321.5843409,0.0079425,3.0,37.9198853,0.0079425,1.8453961,262.367624,1.8453961,286.4317627,1.8453961,311.076904,1.8453961,339.3301869,1.8453961,12.6521714,1.8453961,48.5905997,1.8453961,82.367624,1.8453961,106.4317627,1.8453961,131.076904,1.8453961,159.3301869,1.8453961,192.6521714,1.8453961,228.5905997,1.8453961,45
10,10.08.1981,07:43:27,-15.8,-47.86667,LEO,137.5875564,0.9591109,7.0,255.0849114,11.9911889,4.0,137.6649051,2.0436452,6.0,170.1374867,1.1983094,5.0,105.2912724,0.6561556,4.0,187.6532902,0.1718561,9.0,186.3938818,0.0943828,3.0,236.0667385,0.0051183,4.9633688,262.239724,-0.0123559,3.0,201.9700075,0.0215567,1.0,52.7074305,0.0174332,6.0,235.0068284,0.1118562,1.0,121.6340993,0.0215711,8.0,351.04460830000005,0.0215711,7.0,333.829894,0.0215711,1.4077385,108.5419633,1.4077385,141.5601981,1.4077385,176.2488258,1.4077385,208.7292108,1.4077385,237.0701911,1.4077385,262.6945551,1.4077385,288.5419633,1.4077385,321.5601981,1.4077385,356.2488258,1.4077385,28.7292108,1.4077385,57.0701911,1.4077385,82.6945551,1.4077385,21.01.1952,03:44:57,-23.55,-46.63333,LEO,300.0470155,1.0178082,3.0,221.1527783,13.5566058,12.6662174,280.6372829,1.4180533,2.0,262.0927937,1.2122428,2.0,210.5036786,0.4595435,12.5429912,8.5713205,0.1546783,5.0,194.9669411,0.0064464,12.1515983,101.2024876,-0.040267,8.0,201.7100633,0.0014113,12.3094733,140.8128798,-0.0223309,10.0,277.3563075,0.0988479,2.0,112.5304228,0.1112963,9.0,330.9823254,-0.0208727,4.0,308.3678748,-0.0208727,4.0,21.1973859,-0.0208727,4.8447185,229.4736376,4.8447185,257.2283643,4.8447185,281.6028408,4.8447185,306.6792514,4.8447185,335.9136256,4.8447185,11.2823566,4.8447185,49.4736376,4.8447185,77.2283643,4.8447185,101.6028408,4.8447185,126.6792514,4.8447185,155.9136256,4.8447185,191.2823566,4.8447185,70
